"Scenario","Year","Vehicle","age","modelYear","LIB"
"Ambitious-Reference",2043,"Cars",14,2029,695807
"Ambitious-Reference",2043,"Cars",15,2028,508042
"Ambitious-Reference",2043,"Cars",16,2027,319808
"Ambitious-Reference",2043,"Cars",17,2026,180226
"Ambitious-Reference",2043,"Cars",18,2025,86938
"Ambitious-Reference",2043,"Cars",19,2024,27476
"Ambitious-Reference",2043,"Cars",20,2023,7395
"Ambitious-Reference",2043,"Cars",21,2022,3031
"Ambitious-Reference",2043,"Cars",22,2021,591
"Ambitious-Reference",2043,"Cars",23,2020,135
"Ambitious-Reference",2043,"Cars",24,2019,51
"Ambitious-Reference",2043,"Cars",25,2018,20
"Ambitious-Reference",2043,"Cars",26,2017,4
"Ambitious-Reference",2043,"Cars",27,2016,5
"Ambitious-Reference",2044,"Cars",0,2044,10943
"Ambitious-Reference",2044,"Cars",1,2043,17028
"Ambitious-Reference",2044,"Cars",2,2042,26471
"Ambitious-Reference",2044,"Cars",3,2041,41029
"Ambitious-Reference",2044,"Cars",4,2040,63365
"Ambitious-Reference",2044,"Cars",5,2039,96858
"Ambitious-Reference",2044,"Cars",6,2038,147297
"Ambitious-Reference",2044,"Cars",7,2037,221709
"Ambitious-Reference",2044,"Cars",8,2036,329498
"Ambitious-Reference",2044,"Cars",9,2035,478276
"Ambitious-Reference",2044,"Cars",10,2034,592511
"Ambitious-Reference",2044,"Cars",11,2033,732035
"Ambitious-Reference",2044,"Cars",12,2032,830180
"Ambitious-Reference",2044,"Cars",13,2031,869466
"Ambitious-Reference",2044,"Cars",14,2030,811262
"Ambitious-Reference",2044,"Cars",15,2029,622138
"Ambitious-Reference",2044,"Cars",16,2028,394421
"Ambitious-Reference",2044,"Cars",17,2027,216107
"Ambitious-Reference",2044,"Cars",18,2026,107351
"Ambitious-Reference",2044,"Cars",19,2025,46544
"Ambitious-Reference",2044,"Cars",20,2024,13518
"Ambitious-Reference",2044,"Cars",21,2023,3415
"Ambitious-Reference",2044,"Cars",22,2022,1339
"Ambitious-Reference",2044,"Cars",23,2021,251
"Ambitious-Reference",2044,"Cars",24,2020,57
"Ambitious-Reference",2044,"Cars",25,2019,21
"Ambitious-Reference",2044,"Cars",26,2018,8
"Ambitious-Reference",2045,"Cars",0,2045,11077
"Ambitious-Reference",2045,"Cars",1,2044,17172
"Ambitious-Reference",2045,"Cars",2,2043,26683
"Ambitious-Reference",2045,"Cars",3,2042,41389
"Ambitious-Reference",2045,"Cars",4,2041,63946
"Ambitious-Reference",2045,"Cars",5,2040,98309
"Ambitious-Reference",2045,"Cars",6,2039,149278
"Ambitious-Reference",2045,"Cars",7,2038,224800
"Ambitious-Reference",2045,"Cars",8,2037,333395
"Ambitious-Reference",2045,"Cars",9,2036,484559
"Ambitious-Reference",2045,"Cars",10,2035,680472
"Ambitious-Reference",2045,"Cars",11,2034,803334
"Ambitious-Reference",2045,"Cars",12,2033,919552
"Ambitious-Reference",2045,"Cars",13,2032,950651
"Ambitious-Reference",2045,"Cars",14,2031,887517
"Ambitious-Reference",2045,"Cars",15,2030,725288
"Ambitious-Reference",2045,"Cars",16,2029,482965
"Ambitious-Reference",2045,"Cars",17,2028,266523
"Ambitious-Reference",2045,"Cars",18,2027,128715
"Ambitious-Reference",2045,"Cars",19,2026,57469
"Ambitious-Reference",2045,"Cars",20,2025,22899
"Ambitious-Reference",2045,"Cars",21,2024,6244
"Ambitious-Reference",2045,"Cars",22,2023,1506
"Ambitious-Reference",2045,"Cars",23,2022,572
"Ambitious-Reference",2045,"Cars",24,2021,105
"Ambitious-Reference",2045,"Cars",25,2020,23
"Ambitious-Reference",2045,"Cars",26,2019,9
"Ambitious-Reference",2046,"Cars",0,2046,11190
"Ambitious-Reference",2046,"Cars",1,2045,17381
"Ambitious-Reference",2046,"Cars",2,2044,26904
"Ambitious-Reference",2046,"Cars",3,2043,41714
"Ambitious-Reference",2046,"Cars",4,2042,64497
"Ambitious-Reference",2046,"Cars",5,2041,99179
"Ambitious-Reference",2046,"Cars",6,2040,151444
"Ambitious-Reference",2046,"Cars",7,2039,227694
