"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"West Virginia","Braxton County","54","007","Braxton",12162,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Michigan","Wexford County","26","165","Wexford",34122,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Texas","Cochran County","48","079","Cochran",2509,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Pennsylvania","Blair County","42","013","Blair",120273,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Missouri","Hickory County","29","085","Hickory",8718,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Missouri","Barry County","29","009","Barry",35265,"West North Central","SPPC","Southwest Power Pool / Central","SPP South","US-MRO"
"Minnesota","Ramsey County","27","123","Ramsey",536075,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Arkansas","Little River County","05","081","Little River",11805,"West South Central","SPPS","Southwest Power Pool / South","SERC Mississippi Valley","US-SERC"
"Nevada","Lyon County","32","019","Lyon",62583,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Florida","Lee County","12","071","Lee",834573,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Oregon","Josephine County","41","033","Josephine",87821,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Mississippi","Pike County","28","113","Pike",39394,"East South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Tennessee","Coffee County","47","031","Coffee",60633,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Idaho","Lemhi County","16","059","Lemhi",8441,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Kentucky","Ohio County","21","183","Ohio",23626,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Nebraska","Sarpy County","31","153","Sarpy",199886,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Georgia","Colquitt County","13","071","Colquitt",46167,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Minnesota","Wilkin County","27","167","Wilkin",6306,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Illinois","Randolph County","17","157","Randolph",29815,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Maine","Kennebec County","23","011","Kennebec",127259,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Virginia","Smyth County","51","173","Smyth",29216,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"New Mexico","Roosevelt County","35","041","Roosevelt",18787,"Mountain","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Pennsylvania","Somerset County","42","111","Somerset",72197,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Virginia","Washington County","51","191","Washington",54050,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"North Carolina","Guilford County","37","081","Guilford",549866,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Idaho","Ada County","16","001","Ada",524673,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Oklahoma","Custer County","40","039","Custer",28266,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Ohio","Marion County","39","101","Marion",64851,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Illinois","Pike County","17","149","Pike",14342,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Illinois","Woodford County","17","203","Woodford",38285,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Georgia","Richmond County","13","245","Richmond",205414,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Alabama","Pickens County","01","107","Pickens",18688,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Oklahoma","Ellis County","40","045","Ellis",3648,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Illinois","Perry County","17","145","Perry",20503,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Iowa","Grundy County","19","075","Grundy",12384,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Colorado","Routt County","08","107","Routt",25064,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"New Jersey","Somerset County","34","035","Somerset",348842,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"California","Colusa County","06","011","Colusa",22037,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Illinois","Johnson County","17","087","Johnson",13326,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Colorado","Hinsdale County","08","053","Hinsdale",765,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Idaho","Cassia County","16","031","Cassia",25696,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Minnesota","Isanti County","27","059","Isanti",43182,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Pennsylvania","Erie County","42","049","Erie",267571,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Mississippi","Copiah County","28","029","Copiah",27664,"East South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Texas","Van Zandt County","48","467","Van Zandt",64000,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Virginia","Roanoke County","51","161","Roanoke",97026,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Virginia","Augusta County","51","015","Augusta",78247,"South Atlantic","PJMD","PJM / Dominion","RFC West","US-RFC"
"Alaska","Bristol Bay Borough","02","060","Bristol Bay",844,"Pacific",NA,NA,"ASCC Miscellaneous","US-ASCC"
"Utah","Piute County","49","031","Piute",1550,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Kentucky","Mason County","21","161","Mason",16841,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Minnesota","Benton County","27","009","Benton",41600,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Texas","Donley County","48","129","Donley",3214,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Florida","Bay County","12","005","Bay",190769,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Alabama","Lauderdale County","01","077","Lauderdale",96814,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
