"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"North Carolina","Lincoln County","37","109","Lincoln",95675,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Arkansas","Miller County","05","091","Miller",42415,"West South Central","SPPS","Southwest Power Pool / South","SERC Mississippi Valley","US-SERC"
"Florida","Orange County","12","095","Orange",1471416,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Colorado","San Juan County","08","111","San Juan",802,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Idaho","Franklin County","16","041","Franklin",15494,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Georgia","Carroll County","13","045","Carroll",127098,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Kansas","Riley County","20","161","Riley",71402,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Texas","Schleicher County","48","413","Schleicher",2391,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Virginia","Russell County","51","167","Russell",25477,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"North Carolina","Caldwell County","37","027","Caldwell",80574,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Idaho","Madison County","16","065","Madison",54547,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Indiana","Warrick County","18","173","Warrick",65867,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Kentucky","Adair County","21","001","Adair",19264,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Kentucky","Gallatin County","21","077","Gallatin",8792,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Kentucky","Harrison County","21","097","Harrison",19415,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Maine","Sagadahoc County","23","023","Sagadahoc",37513,"New England","ISNE","Northeast Power Coordinating Council / New England","NPCC New England","US-NPCC"
"Montana","Sweet Grass County","30","097","Sweet Grass",3763,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Texas","Grayson County","48","181","Grayson",146907,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Pennsylvania","Greene County","42","059","Greene",34357,"Middle Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Alaska","Northwest Arctic Borough","02","188","Northwest Arctic",7361,"Pacific",NA,NA,"ASCC Miscellaneous","US-ASCC"
"Kansas","Ellis County","20","051","Ellis",28810,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Alabama","Hale County","01","065","Hale",14888,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Alabama","Perry County","01","105","Perry",7738,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Alabama","Colbert County","01","033","Colbert",58361,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC Tennessee Valley","US-SERC"
"Kansas","Pratt County","20","151","Pratt",9082,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Kentucky","Bourbon County","21","017","Bourbon",20134,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Tennessee","Rutherford County","47","149","Rutherford",367101,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Georgia","Cook County","13","075","Cook",17714,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Kansas","Lane County","20","101","Lane",1529,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Oklahoma","Harper County","40","059","Harper",3190,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Illinois","Piatt County","17","147","Piatt",16714,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Texas","Crosby County","48","107","Crosby",4917,"West South Central","SPPS","Southwest Power Pool / South","ERCOT All","US-TRE"
"Alabama","Greene County","01","063","Greene",7341,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Idaho","Clark County","16","033","Clark",801,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Iowa","Kossuth County","19","109","Kossuth",14396,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"North Dakota","Burke County","38","013","Burke",2134,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"North Carolina","Durham County","37","063","Durham",336892,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Iowa","Harrison County","19","085","Harrison",14670,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Nebraska","Keya Paha County","31","103","Keya Paha",805,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Iowa","Webster County","19","187","Webster",36485,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Illinois","Pope County","17","151","Pope",3707,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Tennessee","Smith County","47","159","Smith",20538,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Virginia","Henry County","51","089","Henry",49702,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Virginia","Alexandria city","51","510","Alexandria",155230,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Iowa","Jefferson County","19","101","Jefferson",15440,"West North Central","MISW","Midcontinent / West","SERC Midwest","US-SERC"
"Montana","Lewis and Clark County","30","049","Lewis and Clark",75011,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Utah","Duchesne County","49","013","Duchesne",20477,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Oklahoma","Alfalfa County","40","003","Alfalfa",5673,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Texas","Delta County","48","119","Delta",5520,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Tennessee","Trousdale County","47","169","Trousdale",12271,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Kentucky","Perry County","21","193","Perry",27133,"East South Central","SRCE","SERC Reliability Corporation / Central","RFC West","US-RFC"
"South Dakota","Deuel County","46","039","Deuel",4354,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Oregon","Jackson County","41","029","Jackson",220768,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Texas","Zavala County","48","507","Zavala",9312,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Nebraska","Banner County","31","007","Banner",674,"West North Central","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Iowa","Madison County","19","121","Madison",16971,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Florida","Broward County","12","011","Broward",1962531,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Georgia","Toombs County","13","279","Toombs",27040,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Michigan","Sanilac County","26","151","Sanilac",40368,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Texas","Rockwall County","48","397","Rockwall",131307,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Michigan","Wayne County","26","163","Wayne",1751169,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Minnesota","Nobles County","27","105","Nobles",21727,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Minnesota","Aitkin County","27","001","Aitkin",16102,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"North Dakota","Ramsey County","38","071","Ramsey",11463,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"North Carolina","Person County","37","145","Person",39737,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Kansas","Trego County","20","195","Trego",2731,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Mississippi","Washington County","28","151","Washington",41946,"East South Central","MISS","Midcontinent / South","SERC South","US-SERC"
"Texas","Eastland County","48","133","Eastland",18037,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Mississippi","Issaquena County","28","055","Issaquena",1256,"East South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Texas","DeWitt County","48","123","DeWitt",19929,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Texas","Angelina County","48","005","Angelina",87319,"West South Central","TRE","Texas Reliability Entity","SERC Mississippi Valley","US-SERC"
"South Carolina","Saluda County","45","081","Saluda",19123,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Missouri","Maries County","29","125","Maries",8430,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Arkansas","Arkansas County","05","001","Arkansas",16307,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Missouri","Lawrence County","29","109","Lawrence",38872,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Virginia","Charlottesville city","51","540","Charlottesville",44983,"South Atlantic","PJMD","PJM / Dominion","RFC West","US-RFC"
"Illinois","Bureau County","17","011","Bureau",32729,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Ohio","Scioto County","39","145","Scioto",71969,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"North Carolina","Madison County","37","115","Madison",22071,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Idaho","Jerome County","16","053","Jerome",25479,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Ohio","Vinton County","39","163","Vinton",12474,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Texas","McLennan County","48","309","McLennan",268583,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Idaho","Custer County","16","037","Custer",4523,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Iowa","Howard County","19","089","Howard",9376,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Florida","Palm Beach County","12","099","Palm Beach",1533801,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Georgia","Lincoln County","13","181","Lincoln",7879,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Alabama","Butler County","01","013","Butler",18382,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Tennessee","Sumner County","47","165","Sumner",207994,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Virginia","King and Queen County","51","097","King and Queen",6720,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Arkansas","Carroll County","05","015","Carroll",28814,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Virginia","Waynesboro city","51","820","Waynesboro",23182,"South Atlantic","PJMD","PJM / Dominion","RFC West","US-RFC"
"Alaska","Sitka City and Borough","02","220","Sitka",8282,"Pacific",NA,NA,"ASCC Miscellaneous","US-ASCC"
"Oregon","Multnomah County","41","051","Multnomah",789698,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Tennessee","Grundy County","47","061","Grundy",13955,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Minnesota","Hubbard County","27","057","Hubbard",22132,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"North Dakota","Sargent County","38","081","Sargent",3776,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"New York","St. Lawrence County","36","089","St. Lawrence",106940,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Missouri","Reynolds County","29","179","Reynolds",5950,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"California","Sacramento County","06","067","Sacramento",1584288,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"Ohio","Paulding County","39","125","Paulding",18706,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Indiana","Wells County","18","179","Wells",28555,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Virginia","Floyd County","51","063","Floyd",15679,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"California","Santa Barbara County","06","083","Santa Barbara",441257,"Pacific","CANO","Western Electricity Coordinating Council / California North","WECC California","US-WECC"
"West Virginia","Boone County","54","005","Boone",20576,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
