"Scenario","Year","age","modelYear","vehSize","LIB"
"Ambitious-Long",2037,0,2037,"Light Truck",2021.15409562099
"Ambitious-Long",2037,1,2036,"Car",1760.95883515898
"Ambitious-Long",2037,1,2036,"Light Truck",3152.04116484103
"Ambitious-Long",2037,2,2035,"Car",2730.48846698233
"Ambitious-Long",2037,2,2035,"Light Truck",4926.51153301768
"Ambitious-Long",2037,3,2034,"Car",3733.20096411314
"Ambitious-Long",2037,3,2034,"Light Truck",6812.79903588687
"Ambitious-Long",2037,4,2033,"Car",5276.9326343048
"Ambitious-Long",2037,4,2033,"Light Truck",9844.0673656952
"Ambitious-Long",2037,5,2032,"Car",7681.98667104335
"Ambitious-Long",2037,5,2032,"Light Truck",13821.0133289566
"Ambitious-Long",2037,6,2031,"Car",11129.0355547017
"Ambitious-Long",2037,6,2031,"Light Truck",19718.9644452983
"Ambitious-Long",2037,7,2030,"Car",16013.2142810491
"Ambitious-Long",2037,7,2030,"Light Truck",27920.7857189509
"Ambitious-Long",2037,8,2029,"Car",20827.0998760438
"Ambitious-Long",2037,8,2029,"Light Truck",37276.9001239562
"Ambitious-Long",2037,9,2028,"Car",26278.4535265426
"Ambitious-Long",2037,9,2028,"Light Truck",46250.5464734573
"Ambitious-Long",2037,10,2027,"Car",43042.0075958874
"Ambitious-Long",2037,10,2027,"Light Truck",73904.9924041127
"Ambitious-Long",2037,11,2026,"Car",54410.5003410425
