"Scenario","Year","State","vehSize","total_kwh"
"Ambitious",2024,"Wyoming","Car",2565552.26192675
"Ambitious",2024,"Wyoming","Light Truck",6903392.86751695
"Ambitious",2025,"Alabama","Car",60508455.4839505
"Ambitious",2025,"Alabama","Light Truck",151561837.318726
"Ambitious",2025,"Alaska","Car",12267595.5531209
"Ambitious",2025,"Alaska","Light Truck",22942328.9854251
"Ambitious",2025,"Arizona","Car",276970126.018693
"Ambitious",2025,"Arizona","Light Truck",752837084.018608
"Ambitious",2025,"Arkansas","Car",32905851.8746783
"Ambitious",2025,"Arkansas","Light Truck",78289135.4881669
"Ambitious",2025,"California","Car",4778645536.05024
"Ambitious",2025,"California","Light Truck",8836989840.37438
"Ambitious",2025,"Colorado","Car",308936301.872117
"Ambitious",2025,"Colorado","Light Truck",840260523.893196
"Ambitious",2025,"Connecticut","Car",93106722.638743
"Ambitious",2025,"Connecticut","Light Truck",310877210.291019
"Ambitious",2025,"Delaware","Car",36026452.2364894
"Ambitious",2025,"Delaware","Light Truck",79300261.0430047
"Ambitious",2025,"District of Columbia","Car",29226057.4921307
"Ambitious",2025,"District of Columbia","Light Truck",63029844.8139144
"Ambitious",2025,"Florida","Car",1037987354.94886
"Ambitious",2025,"Florida","Light Truck",2272300690.27265
"Ambitious",2025,"Georgia","Car",393942571.905136
"Ambitious",2025,"Georgia","Light Truck",863709646.84477
"Ambitious",2025,"Hawaii","Car",89361119.0292183
"Ambitious",2025,"Hawaii","Light Truck",163908874.131372
"Ambitious",2025,"Idaho","Car",31967034.8082928
"Ambitious",2025,"Idaho","Light Truck",87061718.2909931
"Ambitious",2025,"Illinois","Car",316685357.248084
"Ambitious",2025,"Illinois","Light Truck",1023123007.39658
"Ambitious",2025,"Indiana","Car",91867531.092089
"Ambitious",2025,"Indiana","Light Truck",296261147.138685
"Ambitious",2025,"Iowa","Car",32316380.7770987
"Ambitious",2025,"Iowa","Light Truck",109483806.500603
"Ambitious",2025,"Kansas","Car",38607537.6744114
"Ambitious",2025,"Kansas","Light Truck",130856197.873369
"Ambitious",2025,"Kentucky","Car",54849669.3342027
"Ambitious",2025,"Kentucky","Light Truck",137527625.830297
"Ambitious",2025,"Louisiana","Car",41104002.2468033
"Ambitious",2025,"Louisiana","Light Truck",98393698.3323608
"Ambitious",2025,"Maine","Car",24072310.2897927
"Ambitious",2025,"Maine","Light Truck",80386779.6547279
"Ambitious",2025,"Maryland","Car",301648824.303226
"Ambitious",2025,"Maryland","Light Truck",662521362.295772
"Ambitious",2025,"Massachusetts","Car",223914320.204435
"Ambitious",2025,"Massachusetts","Light Truck",747722191.996837
"Ambitious",2025,"Michigan","Car",174104589.390283
"Ambitious",2025,"Michigan","Light Truck",561872436.840381
"Ambitious",2025,"Minnesota","Car",119811114.429729
"Ambitious",2025,"Minnesota","Light Truck",406446404.562868
"Ambitious",2025,"Mississippi","Car",21523466.0296551
"Ambitious",2025,"Mississippi","Light Truck",54635145.6434725
"Ambitious",2025,"Missouri","Car",90854472.1860773
"Ambitious",2025,"Missouri","Light Truck",308076100.964073
"Ambitious",2025,"Montana","Car",16924005.2454748
"Ambitious",2025,"Montana","Light Truck",46119610.6670416
"Ambitious",2025,"Nebraska","Car",24286798.2602279
"Ambitious",2025,"Nebraska","Light Truck",82279395.0709247
"Ambitious",2025,"Nevada","Car",155132240.33786
"Ambitious",2025,"Nevada","Light Truck",422096845.656756
"Ambitious",2025,"New Hampshire","Car",29388607.768358
"Ambitious",2025,"New Hampshire","Light Truck",98163031.9311193
"Ambitious",2025,"New Jersey","Car",454211848.784832
"Ambitious",2025,"New Jersey","Light Truck",1343418687.59433
"Ambitious",2025,"New Mexico","Car",38243086.5400676
"Ambitious",2025,"New Mexico","Light Truck",104146243.030037
"Ambitious",2025,"New York","Car",472302592.445933
"Ambitious",2025,"New York","Light Truck",1395779749.5706
"Ambitious",2025,"North Carolina","Car",305189529.996817
"Ambitious",2025,"North Carolina","Light Truck",672609467.613135
"Ambitious",2025,"North Dakota","Car",5178503.55383616
"Ambitious",2025,"North Dakota","Light Truck",17420960.914946
"Ambitious",2025,"Ohio","Car",173745084.595418
"Ambitious",2025,"Ohio","Light Truck",560387400.587977
"Ambitious",2025,"Oklahoma","Car",88226950.691604
"Ambitious",2025,"Oklahoma","Light Truck",206361845.408829
"Ambitious",2025,"Oregon","Car",248129514.412588
"Ambitious",2025,"Oregon","Light Truck",459137601.834202
"Ambitious",2025,"Pennsylvania","Car",248067818.766606
"Ambitious",2025,"Pennsylvania","Light Truck",733431322.432137
"Ambitious",2025,"Rhode Island","Car",20655386.0109871
"Ambitious",2025,"Rhode Island","Light Truck",68984513.7617586
"Ambitious",2025,"South Carolina","Car",98452109.9526323
"Ambitious",2025,"South Carolina","Light Truck",218577967.710078
"Ambitious",2025,"South Dakota","Car",6787951.76195845
"Ambitious",2025,"South Dakota","Light Truck",22959977.8699117
"Ambitious",2025,"Tennessee","Car",137384889.908592
"Ambitious",2025,"Tennessee","Light Truck",341548631.999655
"Ambitious",2025,"Texas","Car",945068968.277611
"Ambitious",2025,"Texas","Light Truck",2228625774.69723
"Ambitious",2025,"Utah","Car",131406976.696105
"Ambitious",2025,"Utah","Light Truck",357393298.728976
"Ambitious",2025,"Vermont","Car",23002194.9551302
"Ambitious",2025,"Vermont","Light Truck",76799546.9657771
"Ambitious",2025,"Virginia","Car",345502903.136244
"Ambitious",2025,"Virginia","Light Truck",756221098.470857
"Ambitious",2025,"Washington","Car",627750994.632282
"Ambitious",2025,"Washington","Light Truck",1168294398.96614
"Ambitious",2025,"West Virginia","Car",16075663.193211
"Ambitious",2025,"West Virginia","Light Truck",36226879.2447523
"Ambitious",2025,"Wisconsin","Car",92123024.4605042
"Ambitious",2025,"Wisconsin","Light Truck",296586428.940126
"Ambitious",2025,"Wyoming","Car",4914809.56535263
"Ambitious",2025,"Wyoming","Light Truck",13405848.6271786
"Ambitious",2026,"Alabama","Car",97583613.8652996
"Ambitious",2026,"Alabama","Light Truck",254294089.624084
"Ambitious",2026,"Alaska","Car",19003802.7926958
"Ambitious",2026,"Alaska","Light Truck",36907456.0287259
"Ambitious",2026,"Arizona","Car",394838123.09597
"Ambitious",2026,"Arizona","Light Truck",1078258359.75072
"Ambitious",2026,"Arkansas","Car",53278255.2678264
"Ambitious",2026,"Arkansas","Light Truck",133654998.485942
"Ambitious",2026,"California","Car",6505290559.83714
"Ambitious",2026,"California","Light Truck",12422060762.3289
"Ambitious",2026,"Colorado","Car",443473485.393417
"Ambitious",2026,"Colorado","Light Truck",1212276734.08294
"Ambitious",2026,"Connecticut","Car",137439743.614605
"Ambitious",2026,"Connecticut","Light Truck",456741053.508433
"Ambitious",2026,"Delaware","Car",52106556.1447134
"Ambitious",2026,"Delaware","Light Truck",120470944.996974
"Ambitious",2026,"District of Columbia","Car",40574579.9143646
"Ambitious",2026,"District of Columbia","Light Truck",92129311.4344824
"Ambitious",2026,"Florida","Car",1470869279.17348
"Ambitious",2026,"Florida","Light Truck",3381222987.18928
"Ambitious",2026,"Georgia","Car",566114569.045385
"Ambitious",2026,"Georgia","Light Truck",1305023789.7518
"Ambitious",2026,"Hawaii","Car",121456318.357755
"Ambitious",2026,"Hawaii","Light Truck",230596269.568845
"Ambitious",2026,"Idaho","Car",49655418.4518089
"Ambitious",2026,"Idaho","Light Truck",135972400.854878
"Ambitious",2026,"Illinois","Car",475540115.419461
"Ambitious",2026,"Illinois","Light Truck",1514738203.99574
"Ambitious",2026,"Indiana","Car",146787903.899079
"Ambitious",2026,"Indiana","Light Truck",466418149.881021
"Ambitious",2026,"Iowa","Car",53252553.5158034
"Ambitious",2026,"Iowa","Light Truck",178531137.056946
"Ambitious",2026,"Kansas","Car",61463321.6664291
"Ambitious",2026,"Kansas","Light Truck",206214283.356391
"Ambitious",2026,"Kentucky","Car",88406098.1797867
"Ambitious",2026,"Kentucky","Light Truck",230521363.523615
"Ambitious",2026,"Louisiana","Car",68978229.8216747
"Ambitious",2026,"Louisiana","Light Truck",174144319.094247
"Ambitious",2026,"Maine","Car",37004929.2854806
"Ambitious",2026,"Maine","Light Truck",122974644.005804
"Ambitious",2026,"Maryland","Car",428737174.274602
"Ambitious",2026,"Maryland","Light Truck",988084968.7634
"Ambitious",2026,"Massachusetts","Car",328655404.514955
"Ambitious",2026,"Massachusetts","Light Truck",1092438020.47976
"Ambitious",2026,"Michigan","Car",271109649.910238
"Ambitious",2026,"Michigan","Light Truck",862334540.34643
"Ambitious",2026,"Minnesota","Car",182456325.097146
"Ambitious",2026,"Minnesota","Light Truck",612931191.878501
"Ambitious",2026,"Mississippi","Car",38239008.724449
"Ambitious",2026,"Mississippi","Light Truck",100923509.613191
"Ambitious",2026,"Missouri","Car",142918388.808164
"Ambitious",2026,"Missouri","Light Truck",479711083.627014
"Ambitious",2026,"Montana","Car",26391677.7573748
"Ambitious",2026,"Montana","Light Truck",72282181.6694338
"Ambitious",2026,"Nebraska","Car",39059331.2197863
"Ambitious",2026,"Nebraska","Light Truck",130996443.743431
"Ambitious",2026,"Nevada","Car",221185883.849601
"Ambitious",2026,"Nevada","Light Truck",604534219.573996
"Ambitious",2026,"New Hampshire","Car",43927561.9604877
"Ambitious",2026,"New Hampshire","Light Truck",145988615.507891
"Ambitious",2026,"New Jersey","Car",661209022.615464
"Ambitious",2026,"New Jersey","Light Truck",1941654913.96423
"Ambitious",2026,"New Mexico","Car",58744070.612251
"Ambitious",2026,"New Mexico","Light Truck",160831234.679056
"Ambitious",2026,"New York","Car",716860717.643409
"Ambitious",2026,"New York","Light Truck",2103211772.96131
"Ambitious",2026,"North Carolina","Car",447511532.960095
"Ambitious",2026,"North Carolina","Light Truck",1036916967.15092
"Ambitious",2026,"North Dakota","Car",9388865.05004426
"Ambitious",2026,"North Dakota","Light Truck",31334529.4200055
"Ambitious",2026,"Ohio","Car",274376508.387192
"Ambitious",2026,"Ohio","Light Truck",872156643.568437
"Ambitious",2026,"Oklahoma","Car",129216576.793969
"Ambitious",2026,"Oklahoma","Light Truck",317875415.261283
"Ambitious",2026,"Oregon","Car",344804246.411494
"Ambitious",2026,"Oregon","Light Truck",659829300.554507
"Ambitious",2026,"Pennsylvania","Car",381333262.821256
"Ambitious",2026,"Pennsylvania","Light Truck",1118732375.40472
"Ambitious",2026,"Rhode Island","Car",31507441.8281515
